ACORP,A Corporation,Dora Turner,Lorem ipsum,"P.O. Box 695, 5860 Risus. Avenue",Crystal Springs,Alberta,T1Z 6J7,Malawi,(956) 342-9096,"(650) 835-1125
"
ACTEL,Ac Tellus Suspendisse LLC,Scott F. Harrison,Lorem ipsum,750-5042 Eget Avenue,Vienna,Wie,6294,Lesotho,(604) 970-6319,"(951) 435-4603
"
ADIPI,Adipiscing Associates,Vanna Mccall,Lorem,992-9729 Nascetur Rd.,Iowa City,Iowa,60562,Timor-Leste,(708) 194-0361,"(376) 135-1056
"
AENEA,Aenean Eget Metus PC,Josiah Hall,Lorem ipsum dolor,160-8308 Orci Av.,Owerri,Imo,90449,Sweden,(554) 285-4888,"(438) 398-6964
"
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,12209,Germany,030-0074321,030-0076545
ALIQU,Aliquet LLP,Hadassah Palmer,Lorem,2602 Donec Avenue,FlŽnu,HE,1523TU,Uzbekistan,(574) 310-9370,"(372) 488-1586
"
ALTD,A Ltd,Raja Clements,Lorem,204-8546 Sed Av.,Berlin,BE,7764BX,Seychelles,(102) 115-3915,"(399) 787-7692
"
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitucin 2222,Mxico D.F.,,05021,Mexico,(5) 555-4729,(5) 555-3745
ANTEB,Ante Bibendum Industries,Dexter Campos,Lorem ipsum dolor,Ap #572-2080 Nam Road,Landelies,Henegouwen,7466,Tajikistan,(824) 809-0565,"(698) 830-8890
"
ANTED,Ante Dictum Mi LLP,Catherine O. Walls,Lorem,107-8276 Tempor Street,Göksun,Kah,714550,Kiribati,(575) 434-2765,"(426) 933-9036
"
ANTON,Antonio Moreno Taquera,Antonio Moreno,Owner,Mataderos  2312,Mxico D.F.,,05023,Mexico,(5) 555-3932,
ARCUI,Arcu Iaculis LLC,Yardley T. Elliott,Lorem ipsum,"P.O. Box 501, 6187 Pretium Avenue",Bleid,Luxemburg,X1K 5T9,Malawi,(183) 198-4047,"(630) 521-8598
"
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
BERGS,Berglunds snabbkp,Christina Berglund,Order Administrator,Berguvsvgen  8,Lule,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
BLONP,Blondesddsl pre et fils,Frdrique Citeaux,Marketing Manager,"24, place Klber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32
BOLID,Blido Comidas preparadas,Martn Sommer,Owner,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,Mxico D.F.,,05022,Mexico,(5) 555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,
COMMI,Comrcio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,
CONGU,Congue Elit Incorporated,Yuri Olson,Lorem ipsum dolor,"P.O. Box 537, 6121 Duis Rd.",Beigem,VB,63-214,Martinique,(663) 673-8452,"(366) 994-2259
"
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,(171) 555-9199
CUMSO,Cum Sociis Institute,Bryar C. White,Lorem ipsum dolor,187-1961 Risus. Ave,Madrid,MA,6304,Eritrea,(587) 497-8627,"(175) 121-0424
"
DICTU,Dictum Institute,Ursula Mueller,Lorem ipsum,"P.O. Box 708, 4147 Pede St.",Biarritz,AQ,L2V 5Y0,Antarctica,(525) 250-9548,"(236) 876-8324
"
DOLOR,Dolor Sit Associates,Mari Valentine,Lorem,361-8839 Odio. Rd.,Blenheim,SI,49748,Paraguay,(312) 153-8808,"(932) 671-8096
"
DONEC,Donec Corporation,Talon Stone,Lorem ipsum dolor,156-3439 Commodo Street,Caldera,Atacama,99381,Bouvet Island,(940) 162-4386,"(932) 288-6983
"
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,,52066,Germany,0241-039123,0241-059428
DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,,44000,France,40.67.88.88,40.67.89.89
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373
EGEST,Egestas Nunc PC,Summer Mason,Lorem ipsum,553-9688 Vivamus Ave,Neerrepen,L.,94432,Tunisia,(170) 375-2315,"(181) 222-9130
"
ELITN,Elit Nulla Company,Cain Potter,Lorem ipsum dolor,"P.O. Box 464, 7629 Risus Rd.",Darbhanga,BR,8008,Jamaica,(437) 561-2117,"(629) 693-6064
"
ENIMI,Enim Institute,Hillary F. Bryant,Lorem,Ap #630-9906 Eget Street,Racine,Wisconsin,21575,Dominica,(903) 496-2007,"(429) 282-2721
"
ERATV,Erat Vivamus Nisi Industries,Tana Vasquez,Lorem,"Ap #719-1362 At, Ave",Valley East,ON,37236,Mozambique,(357) 710-7619,"(585) 170-1417
"
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426
ETMAG,Et Magnis Foundation,Erin Y. Rice,Lorem,2261 Orci. Road,Kontich,Antwerpen,16651-175,Andorra,(504) 427-8988,"(435) 156-0027
"
ETULT,Et Ultrices Posuere LLP,Katell L. Macdonald,Lorem ipsum,"P.O. Box 935, 3796 Gravida Avenue",Talcahuano,VII,31302,Somalia,(716) 214-7796,"(587) 136-3304
"
EUINS,Eu Institute,Magee M. Nash,Lorem,"P.O. Box 728, 6955 Felis St.",Sydney,NSW,1585,Laos,(814) 160-6555,"(496) 528-3011
"
EUTEL,Eu Tellus Eu LLP,Mark Oliver,Lorem ipsum dolor,"P.O. Box 729, 3992 Eu, Street",Opole,OP,834322,Ecuador,(356) 141-5804,"(557) 781-4331
"
EUTUR,Eu Turpis Company,Xerxes Pearson,Lorem ipsum,330-4083 Mollis. Av.,Carapicuíba,SP,41303,Brazil,(884) 787-2228,"(517) 115-7690
"
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Ors, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,
FELIS,Felis Eget Varius Company,Sylvester Lopez,Lorem,882-4191 Massa. Rd.,Cork,M,7265,Azerbaijan,(894) 552-8917,"(150) 601-6348
"
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,,28034,Spain,(91) 555 94 44,(91) 555 55 93
FOLIG,Folies gourmandes,Martine Ranc,Assistant Sales Agent,"184, chausse de Tournai",Lille,,59000,France,20.16.10.16,20.16.10.17
FOLKO,Folk och f HB,Maria Larsson,Owner,kergatan 24,Brcke,,S-844 67,Sweden,0695-34 67 21,
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,Mnchen,,80805,Germany,089-0877310,089-0877451
FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,,44000,France,40.32.21.21,40.32.21.20
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,,10100,Italy,011-4988260,011-4988261
FRING,Fringilla Porttitor Vulputate Limited,Allistair H. Poole,Lorem ipsum dolor,Ap #239-9980 Mauris St.,Wrocław,DS,22371-592,Chad,(815) 439-9784,"(150) 709-6809
"
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
GALED,Galera del gastrnomo,Eduardo Saavedra,Marketing Manager,"Rambla de Catalua, 23",Barcelona,,08022,Spain,(93) 203 4560,(93) 203 4561
GODOS,Godos Cocina Tpica,Jos Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,,41101,Spain,(95) 555 82 82,
GOURL,Gourmet Lanchonetes,Andr Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,
GRAVI,Gravida Molestie Arcu Institute,Chaney R. Hanson,Lorem,"P.O. Box 474, 8276 Id St.",Orléans,CE,876179,Saint Lucia,(464) 690-1151,"(635) 992-6330
"
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5 Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765
HILAA,HILARION-Abastos,Carlos Hernndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristbal,Tchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333
INTEG,Integer Limited,Tana Fowler,Lorem ipsum dolor,Ap #451-673 Velit Rd.,Istres,PR,4472,India,(184) 649-7635,"(864) 844-3425
"
IPSUM,Ipsum Suspendisse Institute,Lila K. Reid,Lorem ipsum,Ap #478-7802 Donec Ave,Apeldoorn,Gelderland,67163,South Sudan,(281) 692-6693,"(203) 481-3665
"
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,
KOENE,Kniglich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,,78000,France,30.59.84.10,30.59.85.11
LACUS,Lacus Pede LLC,Neil Meyer,Lorem,283-1839 Arcu. Avenue,Lagos,LA,89818-267,Swaziland,(863) 410-2442,"(818) 415-1271
"
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10,61.77.61.11
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221
LECTU,Lectus Ltd,Erica Cote,Lorem ipsum,"""723-3378 Curae"," Avenue""",Vienna,Vienna,43878,Lithuania,(595) 423-6697
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,
LILAS,LILA-Supermercado,Carlos Gonzlez,Accounting Manager,Carrera 52 con Ave. Bolvar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646
LUCTU,Luctus Ipsum Leo Limited,Breanna Hicks,Lorem,220-2229 Duis Rd.,Kielce,Swiętokrzyskie,754258,Montenegro,(693) 321-1036,"(985) 993-5453
"
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231
MAGNA,Magna Et Corp.,Indira Cain,Lorem ipsum dolor,"P.O. Box 785, 2155 Egestas. Rd.",Radom,MA,756717,Israel,(664) 862-5112,"(360) 751-1323
"
MAGNI,Magnis LLP,Aphrodite Emerson,Lorem ipsum,"P.O. Box 395, 6251 Consectetuer Rd.",Vienna,Vienna,8979,Uganda,(575) 983-3329,"(961) 188-7642
"
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68
